ts	phase	decision	why	evidence	result
2026-08-22T14:02:00+03:00	j2k-novel-data-navigation	replaced the standalone novel data-tools activity with a J2K SettingsController and controller-owned document results	preserved Tsundoku and LNReader dry-run import, warnings, atomic apply, EPUB export with bounded assets, destination cleanup, cancellation, and progress while deleting the duplicate activity shell	NovelDataToolsController.kt; NovelSettingsController.kt; MangaDetailsController.kt	COMPILED
2026-08-22T14:25:00+03:00	j2k-eh-settings-navigation	replaced the standalone E-Hentai settings activity with a native J2K SettingsController	preserved login results, session verification, the remote settings matrix and retry, watched tags, favorites planning and sync, category mapping, updater policy, statistics, immediate run, and cancellation while deleting the duplicate toolbar and activity shell	EhSettingsController.kt; BrowseSourceController.kt; SettingsAdvancedController.kt; SourcePreviewController.kt	IMPLEMENTED_UNVERIFIED
2026-08-22T15:10:00+03:00	sy-source-details-ui	replaced the custom horizontal preview strip and generic enhanced-source summaries with their SY presentation contracts	used adaptive full-width preview rows, fit-width 120 by 200 dp cells, J2K text actions and empty state, plus source-specific E-Hentai, ExHentai, 8Muses, HBrowse, NHentai, Pururin, and LANraragi description layouts reconstructed from pinned SY while retaining typed Hayai data and loaders	SourceMetadataUi.kt; SourcePreviewController.kt; MangaDetailsController.kt; hayai_sy_description_*.xml; manga_header_item.xml	IMPLEMENTED_UNVERIFIED
2026-08-22T15:42:00+03:00	j2k-novel-reader-controls	replaced the remaining bespoke novel option controls and arrow-order editor with native J2K layouts and interaction patterns	preserved the full preference surface and immediate reader updates while using J2K filter and text buttons, subtitle labels, material dialogs, and draggable download-header cards; emulator evidence confirms subtitle values do not collide with titles and the ordering surface uses drag handles	NovelReaderSettingsSheet.kt; novel-reader-parity.md; artifacts/emulator-verification/reader-settings-refactor-options.png; artifacts/emulator-verification/reader-settings-refactor-more.png	VERIFIED
2026-08-22T16:40:00+03:00	sy-eh-metadata-responsiveness	fixed the emulator-discovered empty gallery badge and clipped metadata action at large display and font scales	kept the SY information hierarchy while using J2K's Material 3 text-button style, wrap-content height, two-line fallback, and an explicit localized unknown type for absent upstream category data; verified after reinstall with restored migration fixture	hayai_sy_description_eh.xml; SourceMetadataUi.kt; artifacts/emulator-verification/reader-settings-refactor-eh-detail-fixed.png	VERIFIED
2026-08-23T06:03:48+03:00	release-safety	preserved Injekt generic type metadata and Hayai serializers in minified builds, and gated publication on launching the signed nightly APK on Android 12	prevents release-only startup crashes hidden by debug-only emulator verification	app/proguard-rules.pro; tools/verify-apk-startup.ps1; .github/workflows/nightly.yml	VERIFIED
2026-08-23T08:20:00Z	legacy-preferences-and-tabs	replaced throwing FlowPreferences enum reads with one Hayai compatibility decoder and prevented tabbed roots from clearing the destination tab strip	preserved all current enum values, mapped legacy BySource to BySeries without rewriting it, audited removed theme values, and verified the fixture plus repeated Browse/Recents navigation on emulator	CompatibleEnumPreferenceTest; legacy-by-source-preferences.xml; CompatibleEnumPreference.kt; PreferencesHelper.kt; BrowseController.kt; RecentsController.kt; legacy-preference-audit.md; verify-navigation-tabs.ps1	VERIFIED
2026-08-23T09:10:00Z	recents-bysource	restored History BySource as a real J2K Recents grouping mode	kept J2K history rows, chapter expansion, downloads, swipe actions, and reader routing authoritative while moving only source-section ordering and visibility mutation into Hayai-owned policy	RecentSourceGrouper.kt; RecentMangaHeaderItem.kt; RecentsPresenter.kt; RecentSourceVisibility.kt; upstream-feature-audit.md	IMPLEMENTED_UNVERIFIED
2026-08-23T09:25:00Z	lnreader-v3-repository	restored the production LNReader v3 catalogue	accepted root and enveloped documents, encoded raw brackets outside URL authorities, stripped Unicode format marks from language labels, and ignored invalid optional site metadata without weakening required plugin URL validation	NovelPluginRepositoryDocument.kt; NovelPluginModels.kt; NovelPluginRepositoryDocumentTest.kt	IMPLEMENTED_UNVERIFIED
2026-08-23T10:05:00Z	novel-repository-navigation	added one native J2K settings hub with typed APK-extension and LNReader-plugin destinations	made both repository formats discoverable from Browse and Browse settings without URL auto-detection or bypassing the JavaScript plugin trust warning	NovelRepositoryKind; NovelRepositoryHubController.kt; BrowseController.kt; SettingsBrowseController.kt	IMPLEMENTED_UNVERIFIED
2026-08-23T10:30:00Z	novel-selection-lookup	restored selected-text quote, definition, Google Translate, and web-search actions in both novel renderers	routed validated transient queries through forced resizable Custom Tabs, app-intent fallbacks, and a secure J2K bottom-sheet WebView without coupling browser state to either renderer	NovelSelectionActionMode.kt; NovelLookupModels.kt; NovelLookupLauncher.kt; NovelLookupWebSheet.kt; NovelReaderActivity.kt	IMPLEMENTED_UNVERIFIED
2026-08-23T12:15:00+03:00	unified-extension-management	superseded the separate Manga, Novel APK, and JavaScript plugin catalogs with one Extensions list plus Migration	kept J2K authoritative for APK signatures and installation, kept Hayai authoritative for JavaScript trust and runtime, namespaced identities, retained installed and failed entries, and removed duplicate manager navigation	ManagedExtensionProjector.kt; ExtensionBottomPresenter.kt; ExtensionBottomSheet.kt; NovelPluginRepositoryController.kt	COMPILED
2026-08-23T12:15:00+03:00	extension-failure-reconciliation	surfaced identified APK load failures and JavaScript runtime failures and centralized duplicate package selection	preserved J2K versionCode-or-library update semantics while ensuring list, notification check, and download select the same newest repository copy	ApkLoadFailure.kt; ExtensionCatalogReconciler.kt; ExtensionLoader.kt; ExtensionManager.kt; NovelPluginManager.kt	VERIFIED
2026-08-23T12:15:00+03:00	ehentai-details-repair	accepted current E-Hentai direct-anchor sprite previews, invalidated stale empty listings, removed duplicated flattened metadata, and repaired the details vertical chain	kept parsing, typed metadata, authenticated networking, and cache policy Hayai-owned behind the existing J2K details adapter	EhHtmlParser.kt; EhRequestBuilder.kt; EhentaiSource.kt; SourcePreviewCache.kt; manga_header_item.xml	VERIFIED
2026-08-23T12:15:00+03:00	hayai-public-identity	rewrote the README and issue forms, restored Hayai 1.15.0 code 114 metadata, replaced product J2K links, and documented credits and no-stable-release policy	retained upstream J2K, SY, Tsundoku, LNReader, Mihon, and legacy provenance links only as explicit credits or technical references	README.md; .github/ISSUE_TEMPLATE; AboutLinksPreference.kt; Dependencies.kt; releases.md	IMPLEMENTED_UNVERIFIED
2026-08-23T13:45:00+03:00	independent-review-closure	restored all-APK repository management, retained asynchronous JavaScript warm-up failures, and overlaid APK update failures on installed rows	closed the concrete extension-management gaps found by the final independent review before master promotion	RepoPresenter.kt; NovelApkExtensionManager.kt; NovelPluginManager.kt; ManagedExtensionProjectorTest.kt	VERIFIED
2026-08-23T15:04:01+03:00	j2k-extension-sheet-restoration	restored the Manga, Novels, and Migration tabs and returned standard APK loading to J2K's exact version-name compatibility path	novel APKs and JavaScript plugins share the J2K extension cards and actions in the Novels tab; both repository types reuse J2K's inline repository UI; the supplied Keiyoushi, Cursed Manga, and LNReader catalogs seed once and remain removable; plugin icons resolve against their repository and load in Browse; checksum-verified Comikey 1.6.9 and production LNReader Komga 1.0.2 passed install, registration, settings, QuickJS execution, and icon checks on emulator	ExtensionLoader.kt; NovelExtensionManifest.kt; ExtensionRepositoryDefaults.kt; ExtensionBottomPresenter.kt; ExtensionBottomSheet.kt; ExtensionHolder.kt; RepoController.kt; RepoPresenter.kt; SourceHolder.kt; BrowseController.kt	VERIFIED
2026-08-23T16:33:30+03:00	novel-reader-overlay-supersedes-insets-fixture	superseded the earlier below-toolbar viewport evidence: the unmodified J2K reader shell now overlays toolbar chrome over the novel viewport and reserves only system-bar and display-cutout insets	prevents toolbar visibility from pushing or reflowing native and Web novel content; the earlier y=351 fixture remains historical evidence for the replaced behavior	J2kNovelReaderChrome.kt; NovelReaderActivity.kt; novel-reader-parity.md	IMPLEMENTED_UNVERIFIED
2026-08-23T16:50:00+03:00	novel-reader-overlay-safe-inset	superseded the unverified raw-overlay claim after emulator evidence showed novel text under the toolbar; viewer bounds still match J2K while content uses one constant status-bar plus action-bar safe inset	keeps chrome visibility from reflowing text and prevents native or Web content from being obscured by the overlaid toolbar	J2kNovelReaderChrome.kt; artifacts/emulator-verification/20260823-134151/02-novel-reader.png	IMPLEMENTED_UNVERIFIED
2026-08-23T17:12:00+03:00	novel-reader-overlay-safe-inset-verified	measured native novel content top y=351 against J2K toolbar bottom y=351 on the Pixel_10_Pro_XL fixture and passed the complete reader workflow	confirms the constant safe inset prevents overlap without a protected image-reader edit or visibility-driven viewport reflow	J2kNovelReaderChrome.kt; verify-hayai-emulator.ps1; artifacts/emulator-verification/20260823-135641/02-novel-reader-actions.xml	VERIFIED
2026-08-23T17:12:00+03:00	novel-repository-bootstrap-race	made repository save atomic after device logs exposed concurrent first-run LNReader seeding against a migrated identical base URL	prevents the asynchronous UNIQUE constraint crash while keeping the canonical base URL authoritative	NovelPluginStore.kt; artifacts/emulator-verification/20260823-134936/logcat.txt; artifacts/emulator-verification/20260823-135641/logcat.txt	VERIFIED
2026-08-23T17:40:00+03:00	novel-repository-bootstrap-preservation	superseded replace-on-conflict for first-run defaults with an atomic insert-if-absent operation	prevents the startup uniqueness crash without overwriting a concurrently imported or user-edited repository row	NovelPluginStore.kt; NovelPluginManager.kt	TESTED
2026-08-23T17:40:00+03:00	novel-reader-fullscreen-inset-modes	made the stable reader content inset reserve the status bar only while system bars are overlaid	prevents a second status-bar gap in non-fullscreen mode while retaining the verified fullscreen toolbar clearance	J2kNovelReaderChrome.kt; J2kNovelReaderChromeTest.kt	TESTED
2026-08-23T18:00:00+03:00	upstream-rebase	replayed the complete 115-commit Hayai stack onto J2K 7eea215da1 and retained the pre-rebase head on codex/pre-j2k-7eea-c58d	makes current J2K master the architectural parent without allowlisting new upstream files or mixing SY and Tsundoku histories	j2k/master 7eea215da1; backup branch codex/pre-j2k-7eea-c58d	IMPLEMENTED_UNVERIFIED
2026-08-23T19:10:00+03:00	novel-plugin-trust	repaired missing trust records for repositories that were already persisted	prevents PluginRepositoryUntrusted after migration or interrupted repository bootstrap while preserving existing signed trust records	NovelPluginManager.kt; NovelPluginTrustStore.kt; NovelRepositoryTrustBootstrapTest.kt; emulator trust-preference removal and recreation	EMULATOR_VERIFIED
2026-08-23T19:10:00+03:00	novel-download-queue	routed novel chapter downloads through J2K's authoritative queue, worker, status, notification, details action, and Downloads sheet	keeps image manga on the unchanged J2K storage path, preserves active J2K states during offline refresh, and delegates only novel document persistence to Hayai	Downloader.kt; DownloadStore.kt; NovelDownloadDelegate.kt; NovelOfflineManager.kt; MangaDetailsAdapter.kt; MangaDetailsController.kt; NovelDownloadRoutingTest.kt; artifacts/emulator-verification/novel-download-paused-sheet.xml	EMULATOR_VERIFIED
2026-08-23T19:10:00+03:00	cloudflare-bypass	synchronized the J2K interceptor with Mihon ac249e3668a57f24782a49218834064459ba2d09	uses the official challenge header and exits early for interactive challenges without replacing J2K's client or cookie path	CloudflareInterceptor.kt; CloudflareChallengeTest.kt	UNIT_VERIFIED
2026-08-23T18:35:00+03:00	nightly-clean-run-test-compatibility	replaced accidental JUnit Jupiter imports in the new reader-inset test with the repository's JUnit 4 API	the clean Linux nightly source set does not provide Jupiter even though local incremental dependency state allowed the focused invocation to pass	J2kNovelReaderChromeTest.kt; GitHub Actions run 32645335734	IMPLEMENTED_UNVERIFIED
2026-08-23T21:10:00+03:00	real-source-reader-reproduction	installed AllNovel 2.2.2 from the production LNReader v3 repository and loaded Reincarnation Of The Strongest Sword God Chapter 1 from NovelFull	used 3,956 real remote chapters to verify zero opening progress, stable J2K overlay gestures, selection action order, and the populated quote flow instead of fixture-only content	AllNovel 2.2.2; NovelFull novelId 237; NovelReaderActivity.kt; NativeNovelRenderer.kt; artifacts/emulator-verification/20260823-real-source-regressions	EMULATOR_VERIFIED
2026-08-24T10:23:24+03:00	legacy-quote-json-recovery	reset the superseded quote markers and rebuilt typed quotes from both retained legacy stores	replays archived series_quotes plus retained JSON files; scoped-storage devices can select all files through SAF; validates ID and title together and only performs an unambiguous exact-title remap; emulator displayed the archived database quote and safely remapped JSON quote together	LegacyQuoteJsonMigration.kt; LegacyQuoteJsonImportTest.kt; NovelQuoteStore.kt; NovelReaderActivity.kt; artifacts/emulator-verification/2026-08-24-quote-recovery-settings-row/safe-result.png; legacy/hayai-pre-j2k@c1aab40f664dd2eec09774b653535021302f8e86	EMULATOR_VERIFIED
2026-08-24T10:23:24+03:00	eh-settings-row	made the dedicated E-Hentai settings destination match J2K's single-line settings rows	removed the descriptive subtitle and adapted SY's intrinsic 24dp EhLogo instead of tinting a square launcher/source bitmap; verified its normal-height row on emulator	SettingsMainController.kt; ic_ehentai_24dp.xml; artifacts/emulator-verification/2026-08-24-quote-recovery-settings-row/eh-settings-final.png; sy/master@14648c7cf0aa84e5a35d48de9dbf1386df6cca42	EMULATOR_VERIFIED
2026-08-23T21:10:00+03:00	download-auto-start-repair	reproduced a real E-Hentai manga download immediately pausing behind a restored novel queue item and made explicit auto-start resume every stopped queue	verified NovelFull Chapter 1 through J2K's queue and notification and a real E-Hentai gallery progressing from 37 to 383 of 384 pages; the source's last image remained in retry	Downloader.kt; DownloadQueueStartPolicyTest.kt; NovelReaderActivity.kt; artifacts/emulator-verification/20260823-real-source-regressions	EMULATOR_VERIFIED
2026-08-23T21:10:00+03:00	extension-installer-permission-recovery	deferred J2K package-session creation until Android grants the per-app unknown-source permission	denied REQUEST_INSTALL_PACKAGES, installed real 3Hentai after granting it in Settings, and verified the installed row and sources appeared without a stuck state	ExtensionInstallBroadcast.kt; artifacts/emulator-verification/20260823-real-source-regressions	EMULATOR_VERIFIED
2026-08-23T21:10:00+03:00	hayai-splash-notification-identity	animated the existing Hayai monochrome vector on splash and replaced remaining product-identity notification icons	verified the Hayai animated-vector splash on the installed debug build; semantic download, warning, extension, and TTS status icons remain unchanged	anim_hayai_splash.xml; themes.xml; splash_background.xml; BackupNotifier.kt; LibraryUpdateNotifier.kt; AppUpdateNotifier.kt; CrashLogUtil.kt; artifacts/emulator-verification/20260823-real-source-regressions/splash.png	EMULATOR_VERIFIED
2026-08-23T21:40:00+03:00	validation	passed localization, the J2K adapter boundary, complete DevDebug compilation and unit tests, and diff whitespace checks	validated the coherent real-source reader, download, installer, splash, and notification identity repair batch without formatting the upstream tree	tools/verify-localization.ps1 -WriteCoverage; tools/verify-upstream-boundary.ps1; gradlew :app:compileDevDebugKotlin :app:testDevDebugUnitTest -x :app:formatKotlin; git diff --check	VERIFIED
2026-08-23T22:45:00+03:00	eh-settings-and-browse-parity	ported SY's conditional E-Hentai settings destination and detailed-list presentation while preserving J2K's display action as a real list/grid switch	keeps adult controls discoverable only when enabled and adds category/language badges to the image grid without a parallel browse model	SY 14648c7cf0aa84e5a35d48de9dbf1386df6cca42; EhSettingsController.kt; SettingsMainController.kt; BrowseSourceController.kt; SourceBrowseBadgeUi.kt; artifacts/emulator-verification/2026-08-23-eh-sy-parity/result	EMULATOR_VERIFIED
2026-08-23T22:45:00+03:00	eh-preview-pagination-and-layout	removed the one-shot nw query from paginated gallery requests, invalidated poisoned listing caches, and matched SY's 120x200 preview grid and single page slider	verified a live six-listing gallery moved from indices 1-20 to the final listing indices 101-106 instead of silently returning page one	EhRequestBuilder.kt; SourcePreviewCache.kt; SourcePreviewController.kt; EhProtocolCodecTest.kt; artifacts/emulator-verification/2026-08-23-eh-sy-parity/result/hayai-preview-pagination-final.png	EMULATOR_VERIFIED
2026-08-23T22:45:00+03:00	webview-cloudflare-help-and-user-agent	ported Mihon's two-marker WebView challenge detector and help destination and set the requested Chrome 151 Android mobile default identity	keeps J2K's HTTP client, cookies, per-source headers, and user overrides authoritative while making interactive challenge recovery discoverable	Mihon ac249e3668a57f24782a49218834064459ba2d09; CloudflareHelpDetector.kt; WebViewActivity.kt; NetworkHelper.kt	UNIT_VERIFIED
2026-08-23T22:50:00+03:00	validation	passed localization, the J2K adapter boundary, complete DevDebug compilation and unit tests, and diff whitespace checks	validated the conditional settings, SY browse/preview presentation, preview request repair, default user agent, and Cloudflare help batch without formatting the upstream tree	tools/verify-localization.ps1 -WriteCoverage; tools/verify-upstream-boundary.ps1; gradlew :app:compileDevDebugKotlin :app:testDevDebugUnitTest -x :app:formatKotlin; git diff --check	VERIFIED
2026-08-24T11:55:00+03:00	validation	passed localization, the J2K adapter boundary, complete DevDebug compilation and unit tests, device quote recovery, and settings-row inspection	validated archived and JSON quote convergence across an ID collision plus the compact E-Hentai destination without formatting the upstream tree	tools/verify-localization.ps1 -WriteCoverage; tools/verify-upstream-boundary.ps1; gradlew :app:compileDevDebugKotlin :app:testDevDebugUnitTest -x :app:formatKotlin; artifacts/emulator-verification/2026-08-24-quote-recovery-settings-row	VERIFIED
2026-08-26T17:08:27+03:00	reader-migration-repair-frame	required one J2K-owned reader interaction model, six issue dispositions, and lossless novel migration before handoff	user reports contradict earlier audit claims, and migration changes can lose user data	https://github.com/HayaiApp/hayai/issues?q=is%3Aissue%20state%3Aopen; docs/architecture/novel-reader-parity.md; LegacyImportPlan.kt	OPEN
2026-08-26T17:34:01+03:00	novel-migration-source-surfaces	generalized J2K's existing target chooser to CatalogueSource and partitioned the shared Migration list into Manga and Novels	keeps one migration UI/model while allowing local and JavaScript novel sources to survive selection and state restoration	PreMigrationController.kt; MigrationSourceItem.kt; MigrationSourceHolder.kt; BaseMigrationPresenter.kt; SelectionHeader.kt	IMPLEMENTED_UNVERIFIED
2026-08-26T17:34:01+03:00	novel-migration-data-integrity	added one transaction-local J2K adapter call into a Hayai-owned novel data mover	preflights stateful chapter identities and preserves progress, quotes, word counts, and highlights with explicit replace/copy conflict semantics	MigrationProcessAdapter.kt; NovelMigrationDataMover.kt; NovelMigrationDataMoverTest.kt	IMPLEMENTED_UNVERIFIED
2026-08-26T17:36:13+03:00	unified-novel-reader-design	selected a Hayai BaseViewer with normalized progress pages inside the sole J2K ReaderActivity over novel page holders inside image viewers	preserves the actual J2K chrome, chapter sheet, navigation, lifecycle, and progress ownership while keeping text rendering out of the image holder and spread pipelines	ReaderActivity.kt; ReaderViewModel.kt; ChapterLoader.kt; NovelReaderViewer.kt; NovelReaderAttachment.kt	APPROVED_FOR_IMPLEMENTATION
2026-08-26T17:53:09+03:00	novel-migration-focused-validation	passed main and unit-test Kotlin compilation plus eight focused mapping, conflict, replace/copy, and deterministic-identity tests	provides executable evidence for the migration mover without running the broad suite during concurrent reader work	gradlew :app:testDevDebugUnitTest --tests dev.ahmedmohamed.hayai.novel.integration.NovelMigrationDataMoverTest -x :app:formatKotlin; git diff --check	UNIT_VERIFIED
2026-08-26T17:59:25+03:00	novel-download-throttle	added cancellable per-source pacing with a global default, stable source overrides, and an unmetered bypass at the sole queued novel-save seam	addresses issue 26 without delaying reader, browse, update, manga-download, or local-source traffic	NovelDownloadThrottle; NovelDownloadSettingsController; https://github.com/HayaiApp/hayai/issues/26	UNIT_VERIFIED
2026-08-26T17:59:25+03:00	custom-application-color	added a content-seed toggle and picker with one pre-inflation applicator call in each J2K base activity family and an explicit unsupported-device state	addresses issue 37 while preserving the selected base theme and later AMOLED overlay	HayaiThemeSettings; HayaiThemeSeedApplicator; https://github.com/HayaiApp/hayai/issues/37	UNIT_VERIFIED
2026-08-26T18:57:00+03:00	unified-novel-reader-port	replaced the duplicate novel activity, chrome, and chapter adapter with a Hayai BaseViewer and attachment hosted by the actual J2K ReaderActivity	preserves J2K toolbar, navigation, progress, chapter sheet, gestures, lifecycle, and history while retaining novel rendering, quotes, highlights, translation, dictionary, TTS, offline, statistics, and editing	ReaderActivity.kt; ReaderViewModel.kt; ChapterLoader.kt; NovelReaderViewer.kt; NovelReaderAttachment.kt; artifacts/emulator-verification/20260826-154803	EMULATOR_VERIFIED
2026-08-26T18:57:00+03:00	novel-reader-settings-android16-crash	made every margin slider accept each persisted integer value in its supported range	fixes the Material Slider step-size exception reproduced from Settings > Reader > Novel reader on Android 16 and reported in issue 35	NovelSettingsController.kt; https://github.com/HayaiApp/hayai/issues/35; artifacts/emulator-verification/20260826-154803	EMULATOR_VERIFIED
2026-08-26T18:57:00+03:00	novel-layout-and-local-source-support	separated rendering backend from continuous or paginated layout and horizontal or vertical-rl writing direction while routing local novels through the same source ABI and J2K reader	addresses issues 30 and 38 without adding a second reader or bypassing J2K navigation and progress	NovelRenderPlan; NovelHtmlDocumentBuilder.kt; LocalNovelSource; https://github.com/HayaiApp/hayai/issues/30; https://github.com/HayaiApp/hayai/issues/38	UNIT_VERIFIED
2026-08-26T18:57:00+03:00	library-content-scope	added an always-visible All, Manga, and Novels selector to the existing J2K Library toolbar	addresses issue 36 with one library and one persisted filter instead of duplicate library models	LibraryController.kt; NovelLibraryFilterTest.kt; https://github.com/HayaiApp/hayai/issues/36	UNIT_VERIFIED
2026-08-26T18:59:00+03:00	reader-migration-issue-validation	passed localization, the J2K adapter boundary, full DevDebug compilation and unit tests, APK assembly, and the Android 16 migration/reader/settings/Browse flow	validates the unified reader, active TTS row, offline restart, crash repair, legacy import counts, and Manga/Novels/Migration source surfaces without formatting the upstream tree	tools/verify-localization.ps1 -WriteCoverage; tools/verify-upstream-boundary.ps1; gradlew :app:compileDevDebugKotlin :app:testDevDebugUnitTest -x :app:formatKotlin; gradlew :app:assembleDevDebug -x :app:formatKotlin; tools/verify-hayai-emulator.ps1; artifacts/emulator-verification/20260826-154803	VERIFIED
2026-08-27T18:46:25+03:00	legacy-novel-migration-classification	recovered novel identity when an imported title's obsolete source resolves as a manga stub	uses exact legacy novel genres and durable Hayai-owned plugin, quote, highlight, and statistic evidence so the existing migration UI exposes only novel targets without relabelling ordinary manga	NovelMigrationPolicy.kt; NovelMigrationPolicyTest.kt; legacy/hayai-pre-j2k Manga.seriesType evidence	UNIT_VERIFIED
2026-08-27T18:50:04+03:00	legacy-novel-migration-validation	passed localization, the J2K adapter boundary, complete DevDebug compilation and unit tests, the focused red-green classification regression, SQLite compound-query execution, and diff whitespace checks	validates stale-source novel classification and target filtering without changing a J2K adapter or user-facing string	tools/verify-localization.ps1 -WriteCoverage; tools/verify-upstream-boundary.ps1; gradlew :app:compileDevDebugKotlin :app:testDevDebugUnitTest -x :app:formatKotlin; sqlite3 :memory:; git diff --check	VERIFIED
2026-08-30T00:10:00+03:00	upstream-rebase	replayed the complete Hayai patch series onto J2K 8df100d6e6	keeps current J2K master as the architectural parent and preserves the fork as a reviewable linear stack	j2k/master 8df100d6e6; codex/j2k-2026-08-30	IMPLEMENTED_UNVERIFIED
2026-08-30T00:10:01+03:00	novel-migration-surface-repair	centralized durable novel identity, localized migration vocabulary, source artwork, and authenticated cover requests	old novels remain novels when their obsolete source resolves as manga and quotes, highlights, statistics, and J2K chapter metadata keep the existing transactional mover	NovelContentIdentity.kt; SourceArtwork.kt; SourceCoverRequestProvider.kt; NovelMigrationDataMover.kt	UNIT_VERIFIED
2026-08-30T00:10:02+03:00	storage-location-repair	routed downloads and automatic backups through one app-owned and SAF-aware location boundary	new defaults do not require broad storage access, selected trees retain write grants, and invalid or lost locations report their actual failure	StorageLocationAccess.kt; DownloadProvider.kt; BackupCreator.kt	UNIT_VERIFIED
2026-08-30T00:10:03+03:00	novel-reader-issue-repair	made paginated navigation use one viewport stride and retained MIME-relevant extensions for downloaded assets	addresses the reproducible geometry and WebView asset failures from issues 38 and 41 without introducing another reader	NovelHtmlDocumentBuilder.kt; NovelDownloadStore.kt; NovelAssetWebViewClient.kt	UNIT_VERIFIED
2026-08-30T00:10:04+03:00	nightly-changelogs	generated release notes from the previous nightly source commit with patch-equivalent rebase filtering	users can see Hayai and new J2K changes on every published nightly without duplicate replay noise	new-nightly-changelog.ps1; nightly.yml	IMPLEMENTED_UNVERIFIED
2026-08-30T09:58:00+03:00	novel-migration-header-rebinding	rebound each migration section header instead of setting its title only in the recycled holder constructor	the device fixture showed correctly classified novel rows under a stale Manga label, and the shared fix keeps the one J2K migration surface accurate	SelectionHeader.kt; artifacts/emulator-verification/20260830-095244/migration-fixed.png	EMULATOR_VERIFIED
2026-08-30T10:12:00+03:00	novel-storage-repair-validation	passed localization, the J2K boundary, complete DevDebug compilation and unit tests, APK assembly, startup, legacy migration, unified reader, restart, source tabs, corrected migration labels and icons, and app-owned storage summaries	validates the coherent migration, reader, storage, and nightly batch after replaying it onto current J2K	tools/verify-localization.ps1 -WriteCoverage; tools/verify-upstream-boundary.ps1; gradlew :app:compileDevDebugKotlin :app:testDevDebugUnitTest -x :app:formatKotlin; gradlew :app:assembleDevDebug -x :app:formatKotlin; tools/verify-apk-startup.ps1; tools/verify-hayai-emulator.ps1; artifacts/emulator-verification/20260830-095244	VERIFIED
2026-09-01T12:08:46+03:00	durable-novel-translation-storage	added separate completed translation and mutable job tables, stable typed identity, hash-checked offline fallback, retry-safe batch work, completed legacy cache promotion, strict source migration, and bounded backup v5	keeps J2K authoritative for chapters and progress while completed Hayai translations survive process restart, migration, and backup without storing provider credentials	HayaiSchema.kt; NovelTranslationStore.kt; NovelOfflineTranslationWorker.kt; LegacyTranslationCacheMigration.kt; NovelMigrationDataMover.kt; HayaiBackupData.kt; HayaiBackupService.kt	UNIT_VERIFIED
2026-09-01T12:08:46+03:00	novel-reader-issues-42-44-45	accepted every stored threshold integer, saved progress before chapter replacement, completed short chapters, resumed TTS only into the expected next chapter, and reran custom scripts after translation DOM changes	fixes the deterministic Android settings crash, lost read state and TTS intent, and custom CSS or JavaScript disappearing after translation	NovelSettingsController.kt; ReaderViewModel.kt; NovelTtsChapterHandoff.kt; NovelHtmlDocumentBuilder.kt; https://github.com/HayaiApp/hayai/issues/42; https://github.com/HayaiApp/hayai/issues/44; https://github.com/HayaiApp/hayai/issues/45	EMULATOR_VERIFIED
2026-09-03T19:35:00+03:00	upstream-rebase	replayed the complete Hayai patch series onto J2K e848fcebef	keeps current J2K master as the architectural parent and preserves the fork as a reviewable linear stack	j2k/master e848fcebef; codex/j2k-2026-09-03	COMPILE_VERIFIED
2026-09-03T19:35:01+03:00	novel-reader-and-source-issue-adapters	used small J2K adapters for novel card title lines and saved source-filter controls while retaining J2K ownership of library cards source browsing preferences and reader chapter transitions	addresses issues 30 38 39 46 and 47 without creating duplicate screens models or persistence	AppModule.kt; LibraryGridHolder.kt; LibraryListHolder.kt; SettingsLibraryController.kt; BrowseSourceController.kt; SourceFilterSheet.kt; source_filter_sheet.xml	UNIT_VERIFIED
2026-09-03T19:44:02+03:00	open-issue-batch-validation	passed localization boundary full DevDebug compile and unit tests APK assembly and emulator startup; the extended emulator flow reached migration reader TTS offline save and restart before its UI hierarchy dumper returned no root while MainActivity remained resumed	records successful production checks without misreporting the final harness infrastructure failure	tools/verify-localization.ps1; tools/verify-upstream-boundary.ps1; gradlew compileDevDebugKotlin testDevDebugUnitTest; gradlew assembleDevDebug; tools/verify-apk-startup.ps1; artifacts/emulator-verification/20260903-163423	PARTIAL_EMULATOR_VERIFIED
2026-09-06T16:00:29.1228328+03:00	novel-reader-stability	kept chapter blocks across J2K preload and page-selection updates; added chapter scroll and bidirectional continuous or paged reading; restored native selection and typography; standardized source logos	preserves the visible text and routes progress through the selected J2K chapter; replaces conflicting layout controls with one backward-compatible preference	NovelReaderViewer.kt; NativeNovelRenderer.kt; NovelHtmlDocumentBuilder.kt; SourceArtwork.kt; tsundoku fe54f05ae038cbc2ae72713c6ac68a2fbccb11af; tools/verify-novel-web-reader.cjs	BROWSER_VERIFIED_ANDROID_PENDING
2026-09-06T16:31:19.7593216+03:00	novel-reader-stability-verification	verified chapter modes, native selection and viewport anchors, browser pagination, and shared source logos	501 unit tests and 7 Android instrumentation tests passed; Chromium regressions passed; device uses Android 37 16 KB compatibility mode; live-extension and full lifecycle stress checks remain pending	artifacts/novel-reader/gradle-selection.log; gradle-touchscreen.log; instrumentation.log; docs/architecture/j2k-reset.md	VERIFIED_SCOPED
